01.wav|Už dřív je varoval, aby se pokud možno vyhýbali vodním plochám.
02.wav|Bylo někdy obtížné odhadnout nesčetné zákruty říček a potoků.
03.wav|Takže měl částečně ulehčenou práci.
04.wav|Zejmená druhý z nich zemřel velmi krutou smrtí.
05.wav|Chycen do sítě hejna obludných pavouků.
06.wav|Že se mu celé tělo nafouklo a podivně zkroutilo.
07.wav|Toho muže to nezachránilo.
08.wav|Ale alespoň částečně pomstil jeho smrt.
09.wav|Třetího nikdy nenašli. Prostě zmizel, když procházeli obtížným terénem plným bahna.
10.wav|Kapitán tušil, jak asi ubohý voják skončil.
11.wav|Bažina dokázala být rychlá a neúprosná.
12.wav|Vyběhl z džungle přímo do scény, která byla s tímto tragickým osudem téměř identická.
13.wav|Vysoko nad hladinou řeky se zmítala obrovská hadovitá nestvůra.
14.wav|Dlouhé plazí oči se zaměřily na malé postavy pobíhající po břehu.
15.wav|Z boku ji trčelo kopí, ale rána nemohla být hluboká, protože nestvůru očividně nijak neznepokojovala.
16.wav|Ten idiot ho štval celou cestu.
17.wav|Ale přesto si ani on nezasloužil takový osud.
18.wav|Tyhle zrůdy měly na hlavě dva rohy, zahnuté směrem dozadu.
19.wav|Ať se nevrátí do vody!
20.wav|A nechal je hádat, co se od nich asi chce.
